Age, Yrs AD;YOK-I d18O (permil VPDB)
1536.35;-3.690
1535.93;-3.740
1535.51;-3.750
1535.09;-3.720
1534.67;-3.710
1534.25;-3.930
1533.82;-3.680
1533.39;-3.550
1532.95;-3.580
1532.52;-3.470
1532.08;-3.490
1531.64;-3.380
1531.20;-3.340
1530.75;-3.400
1530.30;-3.480
1529.85;-3.500
1529.40;-3.620
1528.95;-3.630
1528.49;-3.560
1528.03;-3.740
1527.57;-3.730
1527.11;-3.670
1526.65;-3.720
1526.18;-3.700
1525.71;-3.630
1525.24;-3.660
1524.77;-3.770
1524.30;-3.560
1523.82;-3.640
1523.35;-3.800
1522.87;-3.670
1522.39;-3.740
1521.91;-3.780
1521.42;-3.800
1520.94;-3.940
1520.45;-3.810
1519.97;-3.590
1519.48;-3.620
1518.99;-3.730
1518.49;-3.840
1518.00;-3.650
1517.51;-3.730
1517.01;-3.510
1516.51;-3.610
1516.02;-3.530
1515.52;-3.530
1515.02;-3.410
1514.52;-3.450
1514.01;-3.490
1513.51;-3.510
1513.01;-3.490
1512.50;-3.490
1511.99;-3.450
1511.49;-3.470
1510.98;-3.470
1510.47;-3.470
1509.96;-3.490
1509.45;-3.500
1508.94;-3.460
1508.43;-3.450
1507.92;-3.410
1507.41;-3.500
1506.90;-3.560
1506.38;-3.580
1505.87;-3.730
1505.36;-3.930
1504.84;-3.910
1504.33;-4.010
1503.81;-3.950
1503.30;-3.850
1502.78;-3.830
1502.27;-3.790
1501.75;-3.640
1501.23;-3.720
1500.72;-3.730
1500.20;-3.600
1499.69;-3.700
1499.17;-3.680
1498.66;-3.820
1498.14;-3.710
1497.63;-3.740
1497.11;-3.700
1496.60;-3.820
1496.08;-3.710
1495.57;-3.980
1495.05;-3.490
1494.54;-3.830
1494.03;-3.990
1493.51;-3.600
1493.00;-3.680
1492.49;-3.660
1491.98;-3.670
1491.47;-3.950
1490.96;-3.910
1490.45;-4.120
1489.94;-3.940
1489.43;-3.670
1488.92;-3.650
1488.42;-3.560
1487.91;-3.590
1487.41;-3.510
1486.91;-3.450
1486.40;-3.650
1485.90;-3.690
1485.40;-3.560
1484.90;-3.550
1484.40;-3.370
1483.90;-3.490
1483.39;-3.600
1482.88;-3.520
1482.35;-3.600
1481.83;-3.790
1481.29;-3.710
1480.75;-3.750
1480.20;-3.830
1479.65;-3.980
1479.09;-3.810
1478.52;-3.930
1477.95;-3.800
1477.38;-3.800
1476.80;-3.820
1476.21;-4.010
1475.62;-3.960
1475.02;-4.050
1474.42;-3.740
1473.82;-4.000
1473.21;-3.900
1472.60;-4.430
1471.99;-4.090
1471.37;-4.100
1470.74;-3.930
1469.49;-4.000
1468.22;-3.900
1467.59;-4.020
1466.95;-4.030
1466.31;-3.950
1465.66;-3.900
1465.02;-3.860
1464.37;-3.940
1463.72;-3.940
1463.07;-4.040
1462.42;-3.790
1461.77;-3.680
1461.12;-3.930
1460.46;-4.080
1459.81;-4.410
1459.16;-3.860
1458.50;-3.610
1457.85;-3.790
1457.19;-3.600
1456.54;-3.900
1455.89;-3.590
1455.23;-3.550
1454.58;-3.560
1453.93;-3.720
1453.28;-3.670
1452.63;-3.620
1451.99;-3.840
1451.34;-3.930
1450.70;-3.930
1450.06;-3.740
1449.42;-3.960
1448.79;-3.800
1448.15;-3.920
1447.52;-3.910
1446.89;-3.600
1446.27;-3.780
1445.65;-3.590
1445.03;-3.480
1444.42;-3.720
1443.81;-3.690
1443.20;-3.760
1442.60;-3.480
1442.00;-3.990
1441.40;-3.520
1440.82;-3.400
1440.23;-3.600
1439.65;-3.650
1439.08;-3.980
1438.51;-3.570
1437.95;-4.040
1437.39;-3.800
1436.84;-4.440
1436.29;-3.970
1435.75;-3.700
1435.22;-3.710
1434.69;-3.620
1434.17;-3.570
1433.66;-3.560
1433.15;-3.540
1432.65;-3.430
1432.16;-3.500
1431.67;-3.390
