Age, Yrs AD;YOK-I d13C (permil VPDB)
1792.59;-7.3
1792.18;-7.22
1791.75;-7.26
1791.29;-6.77
1790.82;-6.75
1790.32;-6.82
1789.79;-6.72
1789.21;-6.47
1788.49;-6.11
1787.64;-6.34
1786.68;-6.39
1785.66;-6.15
1784.60;-5.97
1783.54;-6.53
1782.50;-5.87
1781.47;-5.32
1780.41;-5.41
1779.33;-5.45
1778.22;-5.96
1777.09;-6.23
1775.94;-6.48
1774.77;-6.8
1773.59;-7.35
1772.39;-6.98
1771.17;-7.06
1769.94;-7.03
1768.70;-7.32
1767.44;-6.98
1766.18;-7.62
1764.91;-7.01
1763.64;-7.19
1762.36;-7.18
1761.08;-7.17
1759.79;-7.13
1758.51;-7.15
1755.95;-7.63
1754.67;-7.3
1753.40;-7.29
1752.14;-7.41
1750.88;-7.65
1749.64;-7.8
1747.19;-7.79
1745.99;-7.75
1744.80;-7.42
1743.63;-7.52
1742.48;-7.37
1741.34;-7.46
1740.21;-7.15
1739.08;-7.51
1737.97;-7.46
1736.86;-7.45
1735.76;-7.44
1733.58;-7.58
1732.51;-7.44
1731.45;-7.38
1730.42;-7.33
1729.41;-7.38
1728.42;-7.53
1727.45;-7.53
1726.49;-7.71
1725.54;-7.69
1724.60;-7.69
1723.67;-7.82
1722.74;-7.93
1721.81;-7.99
1720.87;-7.98
1719.94;-7.54
1718.99;-7.69
1718.04;-7.75
1717.07;-7.94
1715.09;-7.85
1714.07;-7.93
1703.48;-8.06
1701.91;-8.16
1700.01;-8.16
1695.79;-7.99
1693.74;-8.02
1691.94;-7.65
1690.52;-7.82
1689.61;-7.81
1688.50;-7.6
1688.00;-7.34
1685.96;-7.71
1685.65;-7.47
1685.35;-7.52
1685.09;-7.56
1684.85;-7.96
1684.63;-7.76
1684.43;-7.61
1684.26;-7.68
1684.09;-7.65
1683.93;-7.67
1683.77;-7.51
1683.61;-7.72
1683.46;-7.31
1683.31;-7.47
1683.16;-7.51
1683.01;-7.47
1682.87;-7.53
1682.72;-7.49
1682.58;-7.45
1682.44;-7.59
1682.31;-7.5
1682.17;-7.34
1682.03;-7.3
1681.90;-7.37
1681.77;-7.52
1681.64;-7.42
1681.51;-7.38
1681.38;-7.35
1681.25;-7.21
1681.12;-7.65
1680.99;-7.56
1680.86;-7.64
1680.73;-7.78
1680.60;-7.65
1680.47;-7.72
1680.35;-7.56
1680.22;-7.61
1680.09;-7.77
1679.96;-7.78
1679.83;-7.76
1679.69;-7.79
1679.56;-7.75
1679.43;-8.06
1679.29;-8
1679.15;-7.96
1679.02;-8.14
1678.88;-8.13
1678.74;-8.04
1678.59;-8.1
1678.45;-8
1678.30;-8.05
1678.15;-8.36
1678.00;-8.22
1677.84;-8.1
1677.69;-8.31
1677.53;-8.35
1677.37;-8.2
1677.20;-8.26
1677.03;-8.41
1676.86;-8.29
